,shop_no,ord_dt,size,ci_seq,mem_no,dvc_id,rgn1_cd,rgn2_cd,rgn3_cd,item_quantity,cpn_use_cnt,ord_price,review_yn,rating,image_review_yn
0,00135ECEFC769BDCFE71491D3B8FCDB6,2020-08-16,1,1,1,1,1,1,1,1.0,0.0,19000.0,0.0,0.0,0.0
1,001699FE9D42C93CD91E73FD5A9D8ACF,2020-08-20,1,1,1,1,1,1,1,4.0,0.0,13000.0,1.0,5.0,1.0
2,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-04,1,1,1,1,1,1,1,2.0,0.0,16400.0,0.0,0.0,0.0
3,004CE057B43F95EEE7B3063E8CBB8333,2020-09-04,1,1,1,1,1,1,1,1.0,1.0,28000.0,0.0,0.0,0.0
4,00623F868E85A91D1F88B153409CDC26,2020-08-18,1,1,1,1,1,1,1,5.0,0.0,25600.0,0.0,0.0,0.0
5,00623F868E85A91D1F88B153409CDC26,2020-08-25,1,1,1,1,1,1,1,2.0,0.0,12100.0,0.0,0.0,0.0
6,0095CC48FC57486F88DAA52AB85FCC28,2020-08-26,1,1,1,1,1,1,1,2.0,0.0,40000.0,0.0,0.0,0.0
7,0095CC48FC57486F88DAA52AB85FCC28,2020-09-14,1,1,1,1,1,1,1,2.0,0.0,19000.0,0.0,0.0,0.0
8,009CDEAC495EE64BB9C1ED5B42BAF631,2020-09-13,1,1,1,1,1,1,1,1.0,0.0,34000.0,0.0,0.0,0.0
9,00A68E7811F7B9973395A28C996292C2,2020-08-25,1,1,1,1,1,1,1,6.0,0.0,30300.0,0.0,0.0,0.0
10,00A68E7811F7B9973395A28C996292C2,2020-08-26,1,1,1,1,1,1,1,3.0,0.0,15000.0,0.0,0.0,0.0
11,00A68E7811F7B9973395A28C996292C2,2020-09-07,1,1,1,1,1,1,1,3.0,0.0,17500.0,0.0,0.0,0.0
12,00AA97C07F13265F9AD595F2FBE2855C,2020-09-09,1,1,1,1,1,1,1,1.0,1.0,17000.0,1.0,4.0,1.0
