,shop_no,ord_dt,abuse_yn
0,000570550A4CE3A992912889C3CBE908,2020-09-11,0.006772681609828302
1,000570550A4CE3A992912889C3CBE908,2020-09-13,0.007249757578785635
2,000570550A4CE3A992912889C3CBE908,2020-09-14,0.0046602673889989035
3,000570550A4CE3A992912889C3CBE908,2020-09-15,0.006250966925450133
4,0005E2300ABF96225F902728DC72A20A,2020-09-11,0.007485692645207548
5,0005E2300ABF96225F902728DC72A20A,2020-09-12,0.007109775207525496
6,0005E2300ABF96225F902728DC72A20A,2020-09-13,0.006042786651009426
7,0005E2300ABF96225F902728DC72A20A,2020-09-14,0.004666657468239439
8,0005E2300ABF96225F902728DC72A20A,2020-09-15,0.007496234825860806
9,000BCF24BABAFDF74C16EAA3931AEF02,2020-09-11,0.004265445564093151
10,000BCF24BABAFDF74C16EAA3931AEF02,2020-09-12,0.004599184611871336
11,000BCF24BABAFDF74C16EAA3931AEF02,2020-09-13,0.004848533044323874
12,000BCF24BABAFDF74C16EAA3931AEF02,2020-09-14,0.006534542401096491
13,000CA59DF4F86914638EE851660C70C7,2020-09-11,0.006768374831762253
14,000CA59DF4F86914638EE851660C70C7,2020-09-12,0.007129230630326673
15,000CA59DF4F86914638EE851660C70C7,2020-09-13,0.007663425787170092
16,000CA59DF4F86914638EE851660C70C7,2020-09-14,0.007155090633304633
17,000CA59DF4F86914638EE851660C70C7,2020-09-15,0.006572525186778887
18,000F3C1EBCE39DEE781CE8D1173CF881,2020-09-13,0.003489176611148938
19,00108388313E58593A29647E46B83EED,2020-09-11,0.004810356912824821
20,00108388313E58593A29647E46B83EED,2020-09-14,0.005928364596711429
21,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-11,0.0032863326812479815
22,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-12,0.005297752714746256
23,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-13,0.004329873223848897
24,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-14,0.0038546437074406434
25,00135ECEFC769BDCFE71491D3B8FCDB6,2020-09-15,0.005997244043895717
26,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-11,0.006994652274642116
27,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-12,0.007719041711331665
28,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-13,0.006825276505604599
29,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-14,0.007643810854070174
30,001699FE9D42C93CD91E73FD5A9D8ACF,2020-09-15,0.008288077784336793
31,0017996CCCDE455A934EDE56185F5DEE,2020-09-11,0.00827290980502
32,0017996CCCDE455A934EDE56185F5DEE,2020-09-12,0.009141486884481992
33,0017996CCCDE455A934EDE56185F5DEE,2020-09-13,0.009304738424776878
34,0017996CCCDE455A934EDE56185F5DEE,2020-09-14,0.008398748929791632
35,001C52759BCA40C77FC4E02CF926FF3B,2020-09-11,0.006186935624618536
36,001C52759BCA40C77FC4E02CF926FF3B,2020-09-12,0.00373235247840468
37,001C52759BCA40C77FC4E02CF926FF3B,2020-09-14,0.0046120421086790694
38,0023F32389E40704EB953DB0FD7C67C2,2020-09-11,0.011550029558104245
39,0023F32389E40704EB953DB0FD7C67C2,2020-09-12,0.006963712110331475
40,0023F32389E40704EB953DB0FD7C67C2,2020-09-13,0.004819531171825226
41,0023F32389E40704EB953DB0FD7C67C2,2020-09-14,0.008202517426820367
42,0023F32389E40704EB953DB0FD7C67C2,2020-09-15,0.0038366915483639807
43,00260FC2BCC81F519F9D881C987922C1,2020-09-11,0.008017964011175225
44,00260FC2BCC81F519F9D881C987922C1,2020-09-12,0.008539944546051297
45,00260FC2BCC81F519F9D881C987922C1,2020-09-13,0.009085648612631262
46,00260FC2BCC81F519F9D881C987922C1,2020-09-14,0.005350729468510452
47,00260FC2BCC81F519F9D881C987922C1,2020-09-15,0.007646551531021296
48,0027B870DAC48AA5210144C01B63BB08,2020-09-11,0.003154673847394955
49,0027B870DAC48AA5210144C01B63BB08,2020-09-12,0.0063506366939371514
50,0027B870DAC48AA5210144C01B63BB08,2020-09-13,0.0033230780537037677
51,0027B870DAC48AA5210144C01B63BB08,2020-09-14,0.003452184722776913
52,0027B870DAC48AA5210144C01B63BB08,2020-09-15,0.0030196072935233377
53,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-11,0.0053177736740611554
54,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-12,0.006309816558395305
55,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-13,0.006497381335134891
56,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-14,0.006820699043395229
57,003155BBFDF3CDDFE0F2D2CBB92D08B9,2020-09-15,0.004854062734680282
58,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-11,0.004718904341545752
59,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-12,0.006076593167052015
60,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-13,0.004101628487284541
61,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-14,0.005164029914300409
62,0036FFC9D8B95D567B2FB06D8EFF2AC3,2020-09-15,0.007256205661771167
63,0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-11,0.004553332651450974
64,0041B06A81D74EC9C028A7EBA41ECD1E,2020-09-12,0.008474927181554745
